year,university_id,university_name,offer_count,degree_level,source_name,source_kind,source_snapshot,source_url,filters_json,notes,mainland_school_id,applicant_count,enrolled_count
2026,university-of-wisconsin-madison,University of Wisconsin-Madison,2092,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":55,""sourceSchoolId"":1675,""title"":""威斯康星大学麦迪逊分校"",""titleEn"":""University of Wisconsin-Madison"",""allStu"":2092,""cnStu"":2092,""outStu"":0}]}",allStu=2092; cnStu=2092; outStu=0,,,
2026,monash-university,Monash University,2037,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":255,""sourceSchoolId"":1782,""title"":""蒙纳士大学"",""titleEn"":""Monash University"",""allStu"":2037,""cnStu"":2037,""outStu"":0}]}",allStu=2037; cnStu=2037; outStu=0,,,
2026,northeastern-university,Northeastern University,1906,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":63,""sourceSchoolId"":1654,""title"":""东北大学"",""titleEn"":""Northeastern University"",""allStu"":1808,""cnStu"":1808,""outStu"":0},{""rank"":617,""sourceSchoolId"":12176,""title"":""东北大学"",""titleEn"":""Northeastern University"",""allStu"":3,""cnStu"":3,""outStu"":0},{""rank"":867,""sourceSchoolId"":16358,""title"":""东北大学Immerse项目"",""titleEn"":""Northeastern University"",""allStu"":95,""cnStu"":95,""outStu"":0}]}",3 条翠鹿记录汇总；allStu 合计=1906,,,
2026,the-hong-kong-university-of-science-and-technology,The Hong Kong University of Science and Technology,1799,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":154,""sourceSchoolId"":10269,""title"":""香港科技大学"",""titleEn"":""The Hong Kong University of Science and Technology"",""allStu"":1799,""cnStu"":1799,""outStu"":0}]}",allStu=1799; cnStu=1799; outStu=0,,,
2026,university-of-washington,University of Washington，Seattle,1754,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":61,""sourceSchoolId"":1779,""title"":""华盛顿大学西雅图校区"",""titleEn"":""University of Washington，Seattle"",""allStu"":1754,""cnStu"":1754,""outStu"":0}]}",allStu=1754; cnStu=1754; outStu=0,,,
2026,university-of-british-columbia,The University of British Columbia,1730,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":166,""sourceSchoolId"":12050,""title"":""英属哥伦比亚大学"",""titleEn"":""The University of British Columbia"",""allStu"":1730,""cnStu"":1730,""outStu"":0}]}",allStu=1730; cnStu=1730; outStu=0,,,
2026,university-of-california-san-diego,University of California-San Diego,1605,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":29,""sourceSchoolId"":1615,""title"":""加州大学圣地亚哥分校"",""titleEn"":""University of California-San Diego"",""allStu"":1605,""cnStu"":1605,""outStu"":0}]}",allStu=1605; cnStu=1605; outStu=0,,,
2026,the-university-of-queensland,University of Queensland,1517,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":482,""sourceSchoolId"":10312,""title"":""昆士兰大学"",""titleEn"":""University of Queensland"",""allStu"":1517,""cnStu"":1517,""outStu"":0}]}",allStu=1517; cnStu=1517; outStu=0,,,
2026,boston-university,Boston University,1321,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":58,""sourceSchoolId"":1612,""title"":""波士顿大学"",""titleEn"":""Boston University"",""allStu"":1321,""cnStu"":1321,""outStu"":0}]}",allStu=1321; cnStu=1321; outStu=0,,,
2026,pennsylvania-state-university,"Pennsylvania State University, University Park",1262,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":97,""sourceSchoolId"":1713,""title"":""宾州州立大学帕克分校"",""titleEn"":""Pennsylvania State University, University Park"",""allStu"":1262,""cnStu"":1262,""outStu"":0}]}",allStu=1262; cnStu=1262; outStu=0,,,
2026,city-university-of-hong-kong,City University of Hong Kong,1218,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":156,""sourceSchoolId"":10739,""title"":""香港城市大学"",""titleEn"":""City University of Hong Kong"",""allStu"":1218,""cnStu"":1218,""outStu"":0}]}",allStu=1218; cnStu=1218; outStu=0,,,
2026,stony-brook-university,Stony Brook University--SUNY,1193,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":99,""sourceSchoolId"":1681,""title"":""纽约州立大学石溪分校"",""titleEn"":""Stony Brook University--SUNY"",""allStu"":1193,""cnStu"":1193,""outStu"":0}]}",allStu=1193; cnStu=1193; outStu=0,,,
2026,imperial-college-london,Imperial College London,1185,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":44,""sourceSchoolId"":1733,""title"":""帝国理工学院"",""titleEn"":""Imperial College London"",""allStu"":1185,""cnStu"":1185,""outStu"":0}]}",allStu=1185; cnStu=1185; outStu=0,,,
2026,the-hong-kong-polytechnic-university,Hong Kong Polytechnic University,1009,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":157,""sourceSchoolId"":10267,""title"":""香港理工大学"",""titleEn"":""Hong Kong Polytechnic University"",""allStu"":1009,""cnStu"":1009,""outStu"":0}]}",allStu=1009; cnStu=1009; outStu=0,,,
2026,university-of-minnesota-twin-cities,"University of Minnesota, Twin Cities",988,undergraduate,翠鹿升学榜,api,offer_rank_pages_1_51.json,https://meiben666.com/mb/api/v2/offerRank/getOSchoolRank,"{""degree"":""本科"",""eduLevel"":""192"",""ranking"":""中国学生榜"",""areaRankId"":""0"",""sortBy"":""0"",""kw"":"""",""sourceRecords"":[{""rank"":100,""sourceSchoolId"":1680,""title"":""明尼苏达大学双城分校"",""titleEn"":""University of Minnesota, Twin Cities"",""allStu"":988,""cnStu"":988,""outStu"":0}]}",allStu=988; cnStu=988; outStu=0,,,
